Division,Group,Field,Description
Chemical Sciences,Analytical chemistry,340107,"Quality assurance, chemometrics, traceability and metrological chemistry"
Chemical Sciences,Analytical chemistry,340108,Sensor technology (incl. chemical aspects)
Chemical Sciences,Analytical chemistry,340109,Separation science
Chemical Sciences,Analytical chemistry,340199,Analytical chemistry not elsewhere classified
Chemical Sciences,Inorganic chemistry,340201,Bioinorganic chemistry
Chemical Sciences,Inorganic chemistry,340202,Crystallography
Chemical Sciences,Inorganic chemistry,340203,F-block chemistry
Chemical Sciences,Inorganic chemistry,340204,Inorganic green chemistry
Chemical Sciences,Inorganic chemistry,340205,Main group metal chemistry
Chemical Sciences,Inorganic chemistry,340206,Metal cluster chemistry
Chemical Sciences,Inorganic chemistry,340207,Metal organic frameworks
Chemical Sciences,Inorganic chemistry,340208,Non-metal chemistry
Chemical Sciences,Inorganic chemistry,340209,Organometallic chemistry
Chemical Sciences,Inorganic chemistry,340210,Solid state chemistry
Chemical Sciences,Inorganic chemistry,340211,Transition metal chemistry
Chemical Sciences,Inorganic chemistry,340299,Inorganic chemistry not elsewhere classified
Chemical Sciences,Macromolecular and materials chemistry,340301,Inorganic materials (incl. nanomaterials)
Chemical Sciences,Macromolecular and materials chemistry,340302,Macromolecular materials
Chemical Sciences,Macromolecular and materials chemistry,340303,Nanochemistry
Chemical Sciences,Macromolecular and materials chemistry,340304,Optical properties of materials
Chemical Sciences,Macromolecular and materials chemistry,340305,Physical properties of materials
Chemical Sciences,Macromolecular and materials chemistry,340306,Polymerisation mechanisms
Chemical Sciences,Macromolecular and materials chemistry,340307,Structure and dynamics of materials
Chemical Sciences,Macromolecular and materials chemistry,340308,Supramolecular chemistry
Chemical Sciences,Macromolecular and materials chemistry,340309,Theory and design of materials
Chemical Sciences,Macromolecular and materials chemistry,340399,Macromolecular and materials chemistry not elsewhere classified
Chemical Sciences,Medicinal and biomolecular chemistry,340401,Biologically active molecules
Chemical Sciences,Medicinal and biomolecular chemistry,340402,Biomolecular modelling and design
Chemical Sciences,Medicinal and biomolecular chemistry,340403,Characterisation of biological macromolecules
Chemical Sciences,Medicinal and biomolecular chemistry,340404,Cheminformatics and quantitative structure-activity relationships
Chemical Sciences,Medicinal and biomolecular chemistry,340405,Glycoconjugates
Chemical Sciences,Medicinal and biomolecular chemistry,340406,Molecular medicine
Chemical Sciences,Medicinal and biomolecular chemistry,340407,Proteins and peptides
Chemical Sciences,Medicinal and biomolecular chemistry,340499,Medicinal and biomolecular chemistry not elsewhere classified
Chemical Sciences,Organic chemistry,340501,Free radical chemistry
Chemical Sciences,Organic chemistry,340502,Natural products and bioactive compounds
Chemical Sciences,Organic chemistry,340503,Organic chemical synthesis
Chemical Sciences,Organic chemistry,340504,Organic green chemistry
Chemical Sciences,Organic chemistry,340505,Physical organic chemistry
Chemical Sciences,Organic chemistry,340599,Organic chemistry not elsewhere classified
Chemical Sciences,Physical chemistry,340601,Catalysis and mechanisms of reactions
Chemical Sciences,Physical chemistry,340602,Chemical thermodynamics and energetics
Chemical Sciences,Physical chemistry,340603,Colloid and surface chemistry
Chemical Sciences,Physical chemistry,340604,Electrochemistry
Chemical Sciences,Physical chemistry,340605,Molecular imaging (incl. electron microscopy and neutron diffraction)
Chemical Sciences,Physical chemistry,340606,Photochemistry
Chemical Sciences,Physical chemistry,340607,Reaction kinetics and dynamics
Chemical Sciences,Physical chemistry,340608,Solution chemistry
Chemical Sciences,Physical chemistry,340609,Transport properties and non-equilibrium processes
Chemical Sciences,Physical chemistry,340699,Physical chemistry not elsewhere classified
Chemical Sciences,Theoretical and computational chemistry,340701,Computational chemistry
Chemical Sciences,Theoretical and computational chemistry,340702,Radiation and matter
Chemical Sciences,Theoretical and computational chemistry,340703,Statistical mechanics in chemistry
Chemical Sciences,Theoretical and computational chemistry,340704,Theoretical quantum chemistry
Chemical Sciences,Theoretical and computational chemistry,340799,Theoretical and computational chemistry not elsewhere classified
Chemical Sciences,Other chemical sciences,349901,Forensic chemistry
Chemical Sciences,Other chemical sciences,349999,Other chemical sciences not elsewhere classified
"Commerce, Management, Tourism and Services","Accounting, auditing and accountability",350101,Accounting theory and standards
"Commerce, Management, Tourism and Services","Accounting, auditing and accountability",350102,Auditing and accountability
"Commerce, Management, Tourism and Services","Accounting, auditing and accountability",350103,Financial accounting
"Commerce, Management, Tourism and Services","Accounting, auditing and accountability",350104,International accounting
"Commerce, Management, Tourism and Services","Accounting, auditing and accountability",350105,Management accounting
"Commerce, Management, Tourism and Services","Accounting, auditing and accountability",350106,Not-for-profit accounting and accountability
"Commerce, Management, Tourism and Services","Accounting, auditing and accountability",350107,Sustainability accounting and reporting
"Commerce, Management, Tourism and Services","Accounting, auditing and accountability",350108,Taxation accounting
"Commerce, Management, Tourism and Services","Accounting, auditing and accountability",350199,"Accounting, auditing and accountability not elsewhere classified"
"Commerce, Management, Tourism and Services","Banking, finance and investment",350201,Environment and climate finance
"Commerce, Management, Tourism and Services","Banking, finance and investment",350202,Finance
"Commerce, Management, Tourism and Services","Banking, finance and investment",350203,Financial econometrics
"Commerce, Management, Tourism and Services","Banking, finance and investment",350204,Financial institutions (incl. banking)
"Commerce, Management, Tourism and Services","Banking, finance and investment",350205,Household finance and financial literacy
"Commerce, Management, Tourism and Services","Banking, finance and investment",350206,Insurance studies
"Commerce, Management, Tourism and Services","Banking, finance and investment",350207,International finance
"Commerce, Management, Tourism and Services","Banking, finance and investment",350208,Investment and risk management
"Commerce, Management, Tourism and Services","Banking, finance and investment",350209,Not-for-profit finance and risk
"Commerce, Management, Tourism and Services","Banking, finance and investment",350299,"Banking, finance and investment not elsewhere classified"
"Commerce, Management, Tourism and Services",Business systems in context,350301,Business analytics
"Commerce, Management, Tourism and Services",Business systems in context,350302,"Business information management (incl. records, knowledge and intelligence)"
"Commerce, Management, Tourism and Services",Business systems in context,350303,Business information systems
"Commerce, Management, Tourism and Services",Business systems in context,350304,Business systems in context
"Commerce, Management, Tourism and Services",Business systems in context,350305,Forensic intelligence
"Commerce, Management, Tourism and Services",Business systems in context,350306,Forensic science and management
"Commerce, Management, Tourism and Services",Business systems in context,350307,Technology management
"Commerce, Management, Tourism and Services",Business systems in context,350399,Business systems in context not elsewhere classified
"Commerce, Management, Tourism and Services",Commercial services,350401,Food and hospitality services
"Commerce, Management, Tourism and Services",Commercial services,350402,Hospitality management
"Commerce, Management, Tourism and Services",Commercial services,350403,Real estate and valuation services
"Commerce, Management, Tourism and Services",Commercial services,350404,Retail
"Commerce, Management, Tourism and Services",Commercial services,350405,Sport and leisure management
"Commerce, Management, Tourism and Services",Commercial services,350499,Commercial services not elsewhere classified
"Commerce, Management, Tourism and Services",Human resources and industrial relations,350501,Business and labour history
"Commerce, Management, Tourism and Services",Human resources and industrial relations,350502,Employment equity and diversity
"Commerce, Management, Tourism and Services",Human resources and industrial relations,350503,Human resources management
"Commerce, Management, Tourism and Services",Human resources and industrial relations,350504,Industrial and employee relations
"Commerce, Management, Tourism and Services",Human resources and industrial relations,350505,Occupational and workplace health and safety
"Commerce, Management, Tourism and Services",Human resources and industrial relations,350506,Workforce planning
"Commerce, Management, Tourism and Services",Human resources and industrial relations,350507,Workplace wellbeing and quality of working life
"Commerce, Management, Tourism and Services",Human resources and industrial relations,350599,Human resources and industrial relations not elsewhere classified
"Commerce, Management, Tourism and Services",Marketing,350601,Consumer behaviour
"Commerce, Management, Tourism and Services",Marketing,350602,Consumer-oriented product or service development
"Commerce, Management, Tourism and Services",Marketing,350603,Industrial marketing
"Commerce, Management, Tourism and Services",Marketing,350604,Marketing communications
"Commerce, Management, Tourism and Services",Marketing,350605,Marketing management (incl. strategy and customer relations)
"Commerce, Management, Tourism and Services",Marketing,350606,Marketing research methodology
